employee_key,employee_code,full_name,store_key,role,employment_type,hire_date,hourly_rate,is_active
332,EMP-00332,Liat Ohayon,22,Cleaner,Full-time,2024-10-25,37.80,1
333,EMP-00333,Daniel Avraham,22,Cashier,Full-time,2025-04-15,36.42,1
334,EMP-00334,Shani Sasson,22,Cashier,Part-time,2024-08-26,37.74,1
335,EMP-00335,Avi Biton,22,Cashier,Student,2022-11-04,39.74,1
336,EMP-00336,Moshe Hadad,22,Cashier,Student,2022-11-25,39.72,1
337,EMP-00337,Eitan Cohen,22,Cashier,Student,2024-01-18,36.16,1
338,EMP-00338,Roni Mizrahi,22,Cashier,Full-time,2023-01-12,34.43,1
339,EMP-00339,Yarden Amar,22,Cashier,Part-time,2021-11-05,39.13,1
340,EMP-00340,Tamar Gabay,22,Cashier,Full-time,2022-05-29,36.97,1
341,EMP-00341,Shira Friedman,22,Cashier,Full-time,2021-03-28,39.26,1
342,EMP-00342,Michal Hadad,23,Store Manager,Full-time,2023-04-28,80.82,1
343,EMP-00343,Yossi Gabay,23,Shift Manager,Full-time,2023-05-06,55.75,1
344,EMP-00344,Nadav Avraham,23,Shift Manager,Full-time,2023-05-26,52.59,1
345,EMP-00345,Liat Cohen,23,Stocker,Full-time,2021-07-29,35.60,1
346,EMP-00346,Lior Avraham,23,Stocker,Part-time,2022-09-13,36.63,1
347,EMP-00347,Eitan Biton,23,Butcher,Full-time,2023-11-28,46.57,1
348,EMP-00348,Amit Dahan,23,Baker,Part-time,2022-08-29,44.30,1
349,EMP-00349,Shani Avraham,23,Security,Full-time,2021-06-13,40.92,1
350,EMP-00350,Yael Avraham,23,Cleaner,Full-time,2024-05-05,37.98,1
351,EMP-00351,Yossi Mizrahi,23,Cashier,Full-time,2022-03-28,39.11,1
352,EMP-00352,Ronen Ohayon,23,Cashier,Student,2022-11-22,35.18,1
353,EMP-00353,Amit Amar,23,Cashier,Student,2022-10-12,34.45,1
354,EMP-00354,Adi Malka,23,Cashier,Student,2021-04-24,34.26,1
355,EMP-00355,Gal Amar,23,Cashier,Student,2021-02-23,38.65,1
356,EMP-00356,Ronen Levi,23,Cashier,Part-time,2024-08-04,39.29,1
357,EMP-00357,Amit Sasson,23,Cashier,Student,2023-11-18,37.52,1
358,EMP-00358,Tal Azoulay,23,Cashier,Student,2025-01-30,34.42,1
359,EMP-00359,Shani Elbaz,23,Cashier,Student,2024-05-13,39.34,1
360,EMP-00360,Dana Naim,23,Cashier,Student,2023-04-10,36.81,1
361,EMP-00361,Omer Gabay,24,Store Manager,Full-time,2022-11-22,82.72,1
362,EMP-00362,Moshe Hadad,24,Shift Manager,Full-time,2024-10-23,57.86,1
363,EMP-00363,Or Amar,24,Shift Manager,Full-time,2025-03-04,55.28,1
364,EMP-00364,Or Ohayon,24,Stocker,Part-time,2022-10-24,39.99,1
365,EMP-00365,Shira Azoulay,24,Stocker,Full-time,2022-10-27,37.08,1
366,EMP-00366,Hila Biton,24,Butcher,Part-time,2023-12-27,50.53,1
367,EMP-00367,Dana Biton,24,Baker,Full-time,2024-01-14,46.09,1
368,EMP-00368,Shira Shapira,24,Security,Full-time,2025-02-23,39.87,1
369,EMP-00369,Moshe Shapira,24,Cleaner,Full-time,2022-06-13,35.16,1
370,EMP-00370,Liat Amar,24,Cashier,Student,2021-09-06,36.15,1
371,EMP-00371,Noa Gabay,24,Cashier,Student,2024-04-29,35.14,1
372,EMP-00372,Adi Azoulay,24,Cashier,Student,2023-09-28,37.49,1
